state,SUM(death)
Maharashtra,22534416
Karnataka,5723143
Tamil Nadu,5608369
Delhi,4717732
Uttar Pradesh,3938519
West Bengal,3683145
Andhra Pradesh,2817970
Punjab,2638818
Gujarat,2128759
Chhattisgarh,1942099
Kerala,1730808
Madhya Pradesh,1683129
Haryana,1415983
Rajasthan,1392503
Bihar,1006656
Uttarakhand,919703
Jammu and Kashmir,800215
Odisha,734106
Jharkhand,702475
Assam,590113
Himachal Pradesh,459573
Goa,419386
Telengana,400427
Telangana,315273
Puducherry,295970
Manipur,158427
Tripura,143460
Chandigarh,140395
Maharashtra***,130753
Meghalaya,91642
Nagaland,53229
Sikkim,49983
Ladakh,43941
Karanataka,36197
Andaman and Nicobar Islands,25975
Arunachal Pradesh,24646
Bihar****,18881
Madhya Pradesh***,10506
Mizoram,8331
Himanchal Pradesh,3507
Lakshadweep,3457
Dadra and Nagar Haveli and Daman and Diu,978
Dadra and Nagar Haveli,8
Unassigned,0
Daman & Diu,0
Cases being reassigned to states,0