state,MALE,FEMALE,TRANSGENDER
Maharashtra,966770949,827976235,244948
Uttar Pradesh,900954451,680487056,339310
Rajasthan,752840347,686528394,215752
Gujarat,746153392,641997586,179530
West Bengal,656425536,532128855,155639
Karnataka,567343701,575265047,171030
Madhya Pradesh,559330137,461589018,152358
Bihar,457334240,399979888,149622
Kerala,367341380,423829307,109347
Andhra Pradesh,368956824,384371948,105485
Tamil Nadu,389248013,344530055,94276
Odisha,345643319,309083171,103474
Chhattisgarh,261703202,274134666,56297
Telangana,273584279,252868696,99670
Haryana,254285829,216980174,75428
Delhi,234880916,165735672,77476
Jharkhand,197854426,174143682,49251
Punjab,208079122,157221402,40208
Assam,177301094,149094370,47937
Jammu and Kashmir,155315862,103272091,47984
Uttarakhand,117590037,110130186,47764
Himachal Pradesh,96900109,99219151,33655
Tripura,64597066,59814364,16375
Goa,22340619,20979805,3374
Meghalaya,18624970,17042973,3836
Manipur,19975968,14754142,6529
Arunachal Pradesh,15690340,12546790,10122
Mizoram,14107205,13411957,2494
Chandigarh,14959749,11145458,2878
Puducherry,12214797,11649550,3481
Nagaland,14066403,9559207,2244
Sikkim,11767345,10062533,4618
Dadra and Nagar Haveli and Daman and Diu,10446644,6055162,2499
Ladakh,6649151,5529159,1205
Andaman and Nicobar Islands,5525173,4679222,833
Lakshadweep,1577941,1205559,228