state,SUM(vaccination.total_people_vaccinated),SUM(test.positive)
Maharashtra,2333904956163,52617559569
Kerala,1041441812334,43289684025
Jharkhand,483635360712,25249133475
Tamil Nadu,961170329520,6935523972
Tripura,144932852004,5463468891
Gujarat,1790154338496,4349167731
Delhi,516037604070,3718557939
Puducherry,30614392140,3414016389
Karnataka,1500499501848,2552749971
Andhra Pradesh,973090662624,2095578180
Telangana,584430977664,2093467539
West Bengal,1548277570554,1893675033
Haryana,622374742638,1536773079
Uttar Pradesh,2083470563265,1489976253
Rajasthan,1902766658400,1327676268
Odisha,862093394799,1202450694
Assam,405586957440,1121833113
Bihar,1130466707850,1009624335
Madhya Pradesh,1356914089623,912121626
Andaman and Nicobar Islands,12468188436,905093577
Jammu and Kashmir,340838580942,530844945
Punjab,482314215528,521435841
Chhattisgarh,693450261549,254046351
Uttarakhand,297922091976,190189551
Goa,56289195648,144536283
Dadra and Nagar Haveli and Daman and Diu,8164679760,91772430
Himachal Pradesh,257596434603,64885242
Manipur,37662798096,55115043
Nagaland,30834206634,49240326
Ladakh,8992062300,48341661
Chandigarh,33418394175,32142885
Arunachal Pradesh,36077569320,27826035
Meghalaya,38934890016,18409872
Mizoram,34622157780,10743255
Sikkim,23729447826,9580692
Lakshadweep,1289380800,0