state,total_doses,first_dose,fully_vaccinated
Maharashtra,2093453169,1714724856,378728313
Uttar Pradesh,1836649011,1522214375,314434636
Gujarat,1665839883,1316838306,349001577
Rajasthan,1663653177,1387977934,275675243
West Bengal,1443060973,1124472799,318588174
Karnataka,1322772314,1094669418,228102896
Madhya Pradesh,1149551654,987598081,161953573
Bihar,981851927,828108133,153743794
Kerala,934050209,749553392,184496817
Andhra Pradesh,912176783,714431125,197745658
Tamil Nadu,864942200,701857330,163084870
Odisha,760887775,627053604,133834171
Chhattisgarh,614988398,515880994,99107404
Telangana,606720187,505918851,100801336
Haryana,536137585,453263811,82873774
Delhi,484044354,378117210,105927144
Jharkhand,425508266,358177074,67331192
Punjab,414182210,352143021,62039189
Assam,383430299,310956404,72473895
Jammu and Kashmir,297592817,249917965,47674852
Uttarakhand,273769984,217223373,56546611
Himachal Pradesh,224816467,189132874,35683593
Tripura,157417885,116952389,40465496
Goa,50051368,41808478,8242890
Meghalaya,41445674,34632836,6812838
Manipur,40420488,33775522,6644966
Arunachal Pradesh,33915468,27123976,6791492
Mizoram,31490503,26768945,4721558
Chandigarh,31023221,24996157,6027064
Nagaland,27693394,22832001,4861393
Puducherry,27114043,23011722,4102321
Sikkim,25897087,20875062,5022025
Dadra and Nagar Haveli and Daman and Diu,18260124,15988549,2271575
Ladakh,14771706,11509254,3262452
Andaman and Nicobar Islands,11328986,9924497,1404489
Lakshadweep,3261957,2681814,580143